ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,Estimated_LenderProfit,AverageLoanAmount
La Salle State Bank,21636,21,10361900.0,370043.0,493423.8095238095
Labette Bank,25657,12,4368124.0,162630.2,364010.3333333333
Ladysmith Federal Savings & Loan Association,81106,3,1185434.0,42207.7,395144.6666666667
Lafayette State Bank,17262,20,7406222.0,279206.26,370311.1
Lake Central Bank,36601,24,12087925.0,380408.57,503663.5416666667
Lake City Bank,24432,830,617562510.56,16257263.5,744051.2175421686
Lake Community Bank,38325,26,13200462.5,414418.33,507710.0961538461
Lake Country Community Bank,38644,3,668000.0,33400.0,222666.66666666666
Lake Elmo Bank,38298,95,31377361.0,1241640.6300000001,330288.0105263158
"Lake Forest Bank & Trust Company, National Association",117732,569,463255389.5,11317713.22,814157.0992970123
Lake Michigan CU,98993,471,222207894.35,7372038.02,471778.968895966
Lake Region Bank,38669,17,5803012.73,218447.19,341353.69
Lake Ridge Bank,75741,405,183751146.08,6173346.74,453706.5335308642
Lake Shore Savings Bank,89165,43,26843379.86,795578.74,624264.6479069768
Lake Trust CU,98829,31,11051380.85,433105.81,356496.1564516129
Lake-Osceola State Bank,33549,36,17331541.62,553340.63,481431.71166666667
Lakeland Bank,45621,847,435328211.13,13511477.06,513964.8301416765
Lakeside Bank,20835,284,120098081.59,4350473.52,422880.56897887326
Lakeside Bank,71683,61,32023118.72,1058054.7,524969.1593442623
Lakeside Bank,475273,55,21545607.58,757448.77,391738.3196363636
Lakeside Bank of Salina,59269,1,236726.28,11836.31,236726.28
Lakeview Bank,378576,81,30518881.88,1179751.03,376776.31950617285
Lamar Bank and Trust Company,41038,4,4554907.0,84287.07,1138726.75
Lamar National Bank,71573,86,51873251.0,1571150.63,603177.3372093023
Lanco FCU,104279,1,164675.22,8233.76,164675.22
Land of Lincoln CU,95581,8,4660681.65,153430.45,582585.20625
Landings CU,91431,4,708197.37,35409.87,177049.3425
Landmark Bank,28168,8,2501281.6,96099.02,312660.2
Landmark Credit Union,108026,3,1165945.0,38248.81,388648.3333333333
Landmark National Bank,118102,280,152235929.19,4593438.67,543699.7471071428
Langley FCU,107187,22,10041234.0,367454.26,456419.7272727273
Laona State Bank,76081,4,2917771.0,94055.01000000001,729442.75
Las Colinas FCU,106722,15,3988427.9,183327.45,265895.1933333333
Latino Economic Development Corp.,440801,2,309025.0,15451.25,154512.5
Launch CU,94442,7,3130993.31,110400.19,447284.7585714286
Lea County State Bank,45791,99,65264322.11,1933068.08,659235.5768686868
Lead Bank,40503,68,26529659.5,1010774.0,390142.05147058825
"Leader Bank, National Association",262380,308,147160700.0,4834699.0,477794.48051948054
Ledyard National Bank,117112,88,39141327.79,1328739.1,444787.81579545455
Lee Bank,32955,74,26689737.83,1015032.18,360672.1328378378
Lee Bank and Trust Company,73641,1,1402660.0,42079.8,1402660.0
Lee County Bank,25016,22,9534893.959999999,342733.31,433404.2709090909
Legacy Bank,25772,75,33279570.38,1198413.89,443727.60506666667
Legacy Bank,58771,853,473940342.12,15232046.21,555615.875873388
Legacy Bank,73431,16,5634887.7,225202.35,352180.48125
Legacy Bank & Trust Company,41221,108,73269225.78,1919491.75,678418.7572222223
Legacy National Bank,434010,94,35156204.55,1346595.75,374002.17606382974
Legacy State Bank,433859,30,11482790.89,422764.01,382759.6963333333
Legence Bank,21312,67,33028080.17,1015909.77,492956.4204477612
"Legend Bank, National Association",69074,61,31081978.59,1022181.29,509540.6326229508
Legends Bank,41077,17,4636483.91,194689.75,272734.34764705884
Legends Bank,123233,88,39217420.7,1301001.3,445652.5079545455
Leighton State Bank,25178,14,5199733.03,201684.46,371409.5021428572
"LendingClub Bank, National Association",111901,1320,747359002.53,22539800.08,566181.0625227273
"Lendistry SBLC, LLC",538160,633,257718329.45,9004971.99,407137.96121642966
Lendistry-Federal Reserve Contract,596038,358,145912841.0,5276047.11,407577.7681564246
Leominster CU,98381,16,12199377.62,261736.80000000002,762461.10125
Levo FCU,105100,4,747909.0,37395.45,186977.25
Lewis & Clark Bank,444912,157,86010658.89,2773639.93,547838.591656051
Lewisburg Banking Company,27193,3,2832964.5,89209.12,944321.5
Lexicon Bank,525597,258,154881230.89000002,4923113.56,600314.8484108527
Liberty Bank,2001,2,670831.8,33541.6,335415.9
Liberty Bank,16282,616,291640246.51,9604654.14,473441.95862012985
Liberty Bank,79401,1,243862.0,12193.1,243862.0
Liberty Bank,465446,115,54370179.14,1779386.81,472784.1664347826
Liberty Bank National Association,224674,13,6882420.1,230859.99,529416.9307692307
Liberty Bank and Trust Company,29037,85,49988019.589999996,1411576.38,588094.348117647
Liberty Bay Credit Union,98591,7,4923415.0,168726.05,703345.0
Liberty Capital Bank,458821,103,50441663.07,1616071.45,489724.8841747573
Liberty Federal Credit Union,96415,54,22861521.0,825045.34,423361.5
Liberty National Bank,58921,81,35877559.68,1257071.53,442932.83555555553
Liberty National Bank,323257,92,41718063.07,1321108.51,453457.2072826087
Liberty SBF Holdings LLC,531105,256,116296248.81,4085880.71,454282.2219140625
Liberty State Bank,52937,5,1361070.0,68053.5,272214.0
Liberty Trust & Savings Bank,24937,11,4068801.38,147260.09,369891.03454545455
"Libertyville Bank & Trust Company, National Association",119728,282,135149742.0,4375276.26,479254.40425531915
Libertyville Savings Bank,25199,12,6837173.29,253088.36000000002,569764.4408333333
Life FCU,109041,2,376742.0,18837.1,188371.0
LifeStore Bank,88741,31,7972707.44,367919.97,257184.11096774196
"LiftFund, Inc.",224512,43,9214498.35,452824.92,214290.65930232557
LimeBank,41389,2,454651.0,22732.550000000003,227325.5
Lincoln County CU,100417,1,725000.0,21750.0,725000.0
Lincoln Savings Bank,25416,156,83207358.15,2444254.52,533380.5009615385
Lincoln State Bank,52825,4,1032552.0,42478.9,258138.0
LincolnWay Community Bank,435260,47,22414002.41,772536.18,476893.66829787235
Lindell Bank & Trust Company,41315,109,42980413.53,1628443.19,394315.72045871563
Linn Area CU,96866,1,220331.51,11016.58,220331.51
Lisle Savings Bank,84214,1,460080.27,13802.41,460080.27
Little Horn State Bank,41932,16,12215961.57,250167.56,763497.598125
Live Oak Banking Company,455644,3406,1699322240.77,53921235.04,498920.2116177334
Llano National Bank,70815,1,383300.0,11499.0,383300.0
Loan Source Incorporated,188567,15939,7796549987.01,257101079.03,489149.2557255788
Local Bank,59007,10,4686600.0,156760.0,468660.0
Logan Bank & Trust Company,75178,40,11608568.0,478099.32,290214.2
Logan State Bank,25201,5,2712193.0,89014.73000000001,542438.6
Logansport Savings Bank,84475,26,8402191.0,353263.69,323161.1923076923
Logix Federal Credit Union,92189,1,200520.0,10026.0,200520.0
Lone Star Bank,443166,15,6445172.87,243346.64,429678.1913333333
"Lone Star Capital Bank, National Association",123898,97,34742946.94,1338712.83,358174.71072164946
Lone Star National Bank,71592,341,133082360.0,4722973.0,390270.8504398827
Lone Star State Bank of West Texas,69095,142,82937450.33,2467863.32,584066.5516197183
Longview Bank,21835,5,2976396.0,103640.1,595279.2
Longview Bank & Trust,21132,5,1252106.56,62605.33,250421.312
Louisiana Catholic FCU,97784,1,213800.0,10690.0,213800.0
Louisiana FCU,97759,4,1510150.0,61065.5,377537.5
Louisiana National Bank,28037,27,9149294.98,367046.55,338862.77703703707
Lower East Side People's FCU,112197,14,3953734.01,174965.81,282409.5721428571
Loyal Trust Bank,527106,90,32951763.0,1256291.45,366130.7
Luana Savings Bank,25205,11,3384417.27,129385.77,307674.2972727273
Lumbee Guaranty Bank,50946,38,16719967.2,559756.46,439999.13684210525
Luminate Bank,36734,41,23163900.0,779409.0,564973.1707317074
Lutheran FCU,506558,6,4131302.05,141598.41,688550.3416666667
Luzerne Bank,60998,28,8707728.02,354520.89,310990.2864285714
Lyons Federal Bank,77805,2,532672.0,26633.6,266336.0
M C Bank & Trust Co.,28707,92,36809430.0,1345836.22,400102.5
MA Bank,41090,16,8513845.58,246369.44,532115.34875
MAX CU,91002,17,5194953.75,206521.52,305585.51470588235
MBE Capital Partners,529431,255,76012799.42,3152897.64,298089.4094901961
MCBank,70037,27,9997668.45,387481.42,370284.01666666666
MCNB Bank and Trust Co.,75431,21,7025096.37,269212.75,334528.39857142855
MCS Bank,78817,3,901083.0,37554.15,300361.0
MNB Bank,42346,33,13831837.34,423911.82,419146.58606060606
MOCSE FCU,92322,2,768426.0,28052.78,384213.0
MRV Banks,448439,47,20572182.93,735536.02,437706.019787234
"MVB Bank, Inc.",123130,334,164236523.13,5476472.14,491726.1171556886
MY CU,99822,21,6420800.0,250374.0,305752.38095238095
Mabrey Bank,58781,234,137880136.55,4043545.5100000002,589231.3527777778
Macatawa Bank,122493,574,389960900.0,10364239.0,679374.3902439025
Machias Savings Bank,29760,316,156098088.81,4978565.27,493981.29370253166
Macon Bank and Trust Company,68797,16,9902159.16,340647.96,618884.9475
Madison County Community Bank,123975,14,4299209.97,187686.6,307086.4264285714
Madison Valley Bank,41911,35,12270550.42,490608.8,350587.1548571428
Magnifi Financial CU,99711,133,59461168.96,1906057.68,447076.45834586467
Magnolia Bank Incorporated,27585,16,6828001.0,253895.05,426750.0625
Magnolia State Bank,19419,32,10891395.0,389389.21,340356.09375
Magnolia State Bank,39096,47,22395900.0,701679.0,476508.5106382979
Magyar Bank,87737,122,71079825.0,2385839.63,582621.5163934426
Main Bank,45715,115,56612003.74,1901069.18,492278.2933913044
Main Street Bank,33042,161,72263658.3,2307543.09,448842.5981366459
Main Street Bank Corp.,224857,55,17994002.77,710134.1900000001,327163.6867272727
MainStreet Bank,378264,372,205250405.56,6457696.44,551748.4020430108
Maine Community Bank,29614,138,75420700.0,2130955.0,546526.8115942029
Maine Savings FCU,97869,4,1366616.0,49112.479999999996,341654.0
Maine State CU,97933,3,695408.0,34770.4,231802.66666666666
Mainstreet Community Bank of Florida,342931,156,54341270.0,2091914.74,348341.4743589744
Mainstreet FCU,97222,3,652055.0,32602.75,217351.66666666666
Malaga Bank FSB,90461,31,10266155.0,397125.05,331166.29032258067
Malvern Bank,25210,18,8269032.21,294261.36,459390.67833333334
"Malvern Bank, National Association",78035,1,551684.0,16550.52,551684.0
Manasquan Bank,87220,403,190377508.78,6342286.87,472400.76620347396
Manhattan Bank,41969,8,3048991.42,122562.76000000001,381123.9275
Manufacturers Bank,5690,402,242992701.0,7275255.23,604459.4552238806
Manufacturers Bank & Trust Company,25006,52,17381283.99,627747.68,334255.4613461538
Manufacturers and Traders Trust Company,46391,17118,10538285481.99,302409648.04,615625.9774500525
"Maple City Savings Bank, FSB",79702,7,2433831.77,99390.1,347690.2528571429
MapleMark Bank,69803,47,36462685.74,1011231.01,775801.8242553192
Maquoketa State Bank,25227,18,5833582.0,224495.1,324087.8888888889
Marathon Bank,82966,27,12891015.14,454883.3,477445.00518518523
Marblehead Bank,33039,20,4963317.3100000005,225786.05,248165.8655
MariSol FCU,91333,4,978100.0,48905.0,244525.0
Marine Bank & Trust Company,121441,150,55579309.33,2089797.63,370528.7288666667
Marion & Polk Schools CU,103718,32,10052867.15,396990.11,314152.0984375
Marion Bank and Trust Company,2087,27,8811546.65,348475.73,326353.5796296296
Marion Center Bank,61018,29,7407682.15,316290.17,255437.3155172414
Marion County State Bank,25371,64,35926890.96,953698.75,561357.67125
Marion State Bank,28425,17,5041431.68,201305.54,296554.8047058823
Marquette Bank,20969,30,7675111.0,330733.17,255837.03333333333
"Marquette Farmers State Bank of Marquette, Kansas",26155,1,321037.0,16051.85,321037.0
Marquette Savings Bank,87473,114,43020478.6,1601864.34,377372.61929824564
Mars Bank,61021,36,14417846.14,550626.54,400495.7261111111
Marshland CU,95020,3,673757.16,33687.86,224585.72
Martha's Vineyard Bank,32770,127,43793713.2,1715585.6,344832.3874015748
Mascoma Bank,43126,310,130438931.85,4511579.95,420770.74790322577
Mason Bank,71370,3,603552.27,30177.61,201184.09
Mason City National Bank,21907,1,518290.0,15548.7,518290.0
Massachusetts Institute of Tech FCU,98408,8,2333097.41,92382.16,291637.17625
Matanuska Valley FCU,90778,19,5846604.0,237285.86000000002,307716.0
Mauch Chunk Trust Co,60514,19,5506970.92,230973.92,289840.5747368421
Mayville Savings Bank,87604,1,182825.0,9141.25,182825.0
Mayville State Bank,36100,6,2142752.43,74596.88,357125.405
Mazuma CU,100154,3,1390518.0,45632.98,463506.0
McClain Bank,59255,10,4609181.24,164111.34,460918.124
McCoy FCU,94482,21,5138814.96,231565.91,244705.47428571427
McCurtain County National Bank,59016,7,2979366.0,104482.98,425623.71428571426
McGehee Bank,4549,6,3641913.12,122638.1,606985.52
McHenry Savings Bank,88018,22,8278737.75,316334.17,376306.26136363635
McIntosh County Bank,52666,2,2194267.0,65828.01000000001,1097133.5
McKenzie Banking Company,67220,8,1640300.0,82015.0,205037.5
Meade County Bank,26832,18,7551884.1,275056.24,419549.11666666664
Meadows Bank,455186,431,214707863.54,6877640.75,498162.0963805104
Mechanics & Farmers Bank,50708,58,33347200.0,1095114.0,574951.724137931
Mechanics Bank,6042,2403,1183151070.59,37876841.27,492364.1575488972
Mechanics Bank,81184,36,18181272.0,642556.54,505035.3333333333
Mechanics Cooperative Bank,89240,140,65625694.15,2152035.42,468754.9582142857
Mediapolis Savings Bank,25258,12,3461098.12,147560.91,288424.8433333333
Mega Bank,453566,38,29943315.4,816527.81,787981.9842105262
Members 1st FCU,104409,248,94852540.06,3562439.77,382469.9195967742
Members Choice WV FCU,107904,2,341540.0,17077.0,170770.0
Members Cooperative CU,99625,24,12026321.65,358472.57,501096.73541666666
Members Trust of the Southwest FCU,106083,2,602944.0,30147.199999999997,301472.0
Mercantile Bank,122287,934,651144233.22,17926678.12,697156.5666167024
Mercer County State Bank,65267,55,25499955.33,841267.79,463635.5514545454
Merchants & Farmers Bank & Trust Company,28364,30,14847752.0,525084.36,494925.06666666665
Merchants & Farmers Bank of Greene County,1972,6,2451100.0,91365.0,408516.6666666667
Merchants & Marine Bank,39666,52,19011062.62,704608.69,365597.3580769231
Merchants & Planters Bank,4611,10,5661100.0,130979.0,566110.0
Merchants & Planters Bank,39721,16,9798478.2,327840.06,612404.8875
Merchants Bank,52945,10,3692745.93,143085.2,369274.593
Merchants Bank of Indiana,24315,126,93991300.0,2239201.0,745962.6984126985
"Merchants Bank, National Association",39052,389,202710756.0,6206519.8,521107.34190231364
Merchants Commercial Bank,444422,53,14561403.0,638412.39,274743.4528301887
Merchants State Bank,66522,8,4309468.0,151349.7,538683.5
Merchants and Farmers Bank,4251,11,5218090.34,144239.73,474371.84909090906
Merchants and Manufacturers Bank,21574,93,50907554.22,1678888.31,547393.0561290323
Meredith Village Savings Bank,43146,126,46791269.51,1742033.74,371359.2818253968
Meridian Bank,378591,496,325170489.44,9205593.73,655585.6641935484
Merit Bank,3332,49,18297832.75,698696.79,373425.1581632653
Meritrust Federal Credit Union,97319,26,12714861.0,391663.49,489033.1153846154
Meriwest CU,92074,17,4358572.88,217928.65,256386.63999999998
Merrimack County Savings Bank,42989,170,82010857.82,2563859.99,482416.8107058823
Merrimack Valley CU,98420,6,2187874.97,78996.63,364645.82833333337
Mesquite CU,105713,6,1456908.0,72845.4,242818.0
Metairie Bank & Trust Company,28435,115,41287401.0,1542686.15,359020.8782608696
Methuen Co-Operative Bank,89291,24,6911180.0,279604.66,287965.8333333333
Metro Bank,112867,28,11548235.42,379649.14,412436.9792857143
Metro City Bank,440691,216,68409215.0,2659018.07,316709.3287037037
Metropolitan Commercial Bank,124010,10,3307400.0,132276.0,330740.0
Metropolitan Economic Development Association,489496,13,3940432.6999999997,157887.96,303110.20769230765
Metz Banking Company,41132,3,748124.0,37406.2,249374.66666666666
Mi Bank,525601,79,35074101.39,1273206.22,443975.9669620253
Miami Savings Bank,89119,10,3585369.55,144334.68,358536.95499999996
Michigan First CU,98837,12,5195181.86,173829.21,432931.8216666667
Michigan Schools & Government CU,99125,7,2846660.0,106887.42,406665.71428571426
Michigan State University FCU,99188,63,24440615.0,892080.87,387946.2698412698
Michigan United CU,98719,5,1207320.95,51752.15,241464.19
Mid America Bank,41131,67,23226712.05,937452.6,346667.34402985073
Mid Minnesota FCU,99592,13,5015000.0,193271.6,385769.23076923075
Mid Oregon FCU,103727,21,12768434.0,328828.8,608020.6666666666
Mid Penn Bank,61087,1908,1033142470.45,31860500.35,541479.282206499
Mid-America Bank,25822,15,6085907.83,253387.17,405727.1886666667
Mid-Atlantic FCU,98202,30,9318637.22,348630.99,310621.2406666667
"Mid-Atlantic Farm Credit, ACA",323403,25,11367254.92,398523.19,454690.1968
Mid-Hudson Valley FCU,101517,13,3113604.0,148596.85,239508.0
Mid-Missouri Bank,40159,51,23527626.97,806229.61,461326.0190196078
MidAmerica National Bank,20375,19,6492365.8,253941.88,341703.46315789473
MidCountry Bank,80291,117,71123147.11,2243086.68,607890.1462393162
MidFirst Bank,90226,2135,1182596654.4,35421563.54,553909.4400000001
MidSouth Bank,27,74,37107900.0,1147737.0,501458.1081081081
MidWest America FCU,96438,11,2307786.5,107397.99,209798.77272727274
MidWestOne Bank,25117,748,381704284.82,12108122.2,510299.84601604275
"Middlesex Federal Savings, F.A.",79224,38,9881831.85,417647.78,260048.20657894737
Middlesex Savings Bank,33108,445,243262573.07,7537590.41,546657.4675730336
Middletown Valley Bank,30754,165,70364010.36,2430775.8,426448.54763636366
Midflorida CU,94641,115,48080920.99,1640409.33,418094.9651304348
Midland Federal Savings & Loan Association,85226,1,150000.0,7500.0,150000.0
Midland States Bank,21299,541,279631209.66,8827768.96,516878.3912384474
"Midstates Bank, National Association",25068,33,18368002.47,482484.79,556606.1354545454
Midwest Bank,22083,28,18576525.05,523651.08,663447.3232142858
Midwest Bank,39006,84,38107407.52,1278923.52,453659.6133333334
Midwest Bank,42595,70,29661870.37,1071976.09,423741.0052857143
Midwest BankCentre,41309,383,227438180.89,6638408.19,593833.3704699739
"Midwest Heritage Bank, F.S.B.",119840,30,12485335.69,399779.59,416177.8563333333
Midwest Minnesota Community Development Corporation,529653,5,1923673.25,73709.13,384734.65
Midwest National Bank,22541,4,2674372.26,84504.26999999999,668593.065
Midwest Regional Bank,41195,322,141776218.72,4853922.81,440298.8159006211
Mifflinburg Bank & Trust Co,61058,26,19481746.73,473652.76,749297.9511538462
Milford Federal Bank,84329,4,769172.7,38458.63,192293.175
Millbury FCU,98429,7,1988392.65,99419.63,284056.09285714285
Milledgeville State Bank,21981,3,611254.05,30562.7,203751.35
Millennial Bank,122122,26,7874296.0,346558.8,302857.53846153844
Millennium Bank,124053,78,34851140.63,1223270.51,446809.4952564103
Millennium Bank,448174,59,16581455.59,697768.76,281041.6201694915
Milwaukee Economic Development Corporation,188315,7,4746725.0,164677.79,678103.5714285715
Minden Exchange Bank & Trust Company,42363,2,1655604.0,49668.119999999995,827802.0
"Mineola Community Bank, S.S.B.",80324,5,3254446.82,101028.20999999999,650889.364
Miners Exchange Bank,73174,2,891600.0,26748.0,445800.0
MinnStar Bank National Association,38295,25,8844126.66,353183.54,353765.0664
Minnesota Lakes Bank,36775,46,22742487.89,673755.18,494401.9106521739
Minnesota National Bank,38880,3,747094.95,28925.85,249031.65
Minnwest Bank,36636,233,122696739.4,3765195.09,526595.4480686695
Minster Bank,57861,132,64584162.6,2094077.72,489273.9590909091
Mission Bank,122900,355,170282771.0,5565636.93,479669.77746478876
Mission Bank,238302,6,1051706.0,52585.3,175284.33333333334
Mission Valley Bank,224981,97,57666597.11,1664127.22,594501.0011340206
Mississippi River Bank,28107,39,16094087.52,590395.52,412668.91076923074
"Modern Bank, National Association",48853,104,131317236.37,2694792.55,1262665.734326923
Money One FCU,94056,4,1473179.27,51904.979999999996,368294.8175
Monroe Federal Savings & Loan Association,82080,11,3096826.07,137993.26,281529.6427272727
Monson Savings Bank,33102,71,28492400.0,1005974.0,401301.40845070424
Montana Community Development Corp.,188423,100,20221812.0,1011090.6,202218.12
Montecito Bank & Trust,5852,463,222719125.07,7116707.8,481034.8273650108
Monterey County Bank,5870,55,21445463.09,799191.33,389917.5107272727
Montezuma State Bank,25271,1,415123.35,12453.7,415123.35
Montgomery Bank,41423,204,115396726.3,3459425.15,565670.2269607843
Monticello Banking Company,27616,48,25357714.69,815925.12,528285.7227083334
Moody National Bank,69994,212,97260506.0,3204691.6,458775.9716981132
"Morgantown Bank & Trust Company, Inc.",27627,12,5050916.42,188699.03,420909.70166666666
Morris Bank,19412,171,79180064.62,2730505.39,463041.3135672515
Mortgage Capital Development Corporation,188162,365,86472475.24,3983083.21,236910.89106849313
Morton Community Bank,22097,570,283684779.81,9200939.56,497692.59615789476
Mound City Bank,76666,16,3704578.0,177844.9,231536.125
Mount Vernon Bank,19601,16,4744900.0,186723.0,296556.25
Mount Vernon Bank & Trust Company,25280,6,2004309.5,82050.53,334051.5833333333
Mountain America FCU,106925,642,234518853.36,8808772.64,365294.16411214956
"Mountain Association for Community Economic Development, Inc.",533479,2,994979.85,33245.19,497489.925
"Mountain Bizcapital, Inc.",447221,18,3450994.62,163806.08,191721.92333333334
Mountain Commerce Bank,66985,194,111358414.68,3261161.36,574012.4468041237
Mountain Pacific Bank,442160,173,81001169.97,2628598.37,468214.85531791905
Mountain Valley Bank,15766,20,9596940.31,335878.77,479847.01550000004
Mountain Valley Bank,66942,4,2439037.7,76671.13,609759.425
"Mountain Valley Bank, National Association",75317,27,12004285.6,423482.52999999997,444603.1703703704
Mountain View Bank of Commerce,453675,53,19716895.0,742814.85,372016.88679245283
Mountain West Small Business Finance,188138,2,464707.0,23235.35,232353.5
MountainOne Bank,33181,113,70548164.13,2026465.6400000001,624320.0365486725
Movement Bank,73229,3,941056.37,36023.08,313685.45666666667
Mt. McKinley Bank,3498,87,36871992.99,1272790.69,423816.0113793104
Muenster State Bank,71494,12,3484324.0,150971.2,290360.3333333333
Multipli Credit Union,100114,3,682040.17,34102.009999999995,227346.72333333336
Municipal Empl CU of Baltimore Inc,98122,2,2155485.0,67774.25,1077742.5
Municipal Trust and Savings Bank,20352,10,1942866.93,97143.34,194286.693
Murphy-Wall State Bank and Trust Company,22335,1,162580.0,8129.0,162580.0
Mutual Savings Association,85239,1,215000.0,10750.0,215000.0
Mutual Savings Bank,77834,13,3044338.14,145006.54,234179.85692307694
MutualOne Bank,84345,101,53083815.68,1778817.8,525582.3334653465
NBC Oklahoma,58711,103,45088797.47,1451360.24,437755.31524271844
NBKC Bank,123532,74,33399590.0,1084782.6,451345.8108108108
"NBT Bank, National Association",49989,1116,628896529.6,19168557.87,563527.3562724014
NBT Financial Bank,69932,3,1016161.0,39924.05,338720.3333333333
"NCRC Community Development Fund, Inc.",533179,1,378961.35,11368.84,378961.35
NSB Bank,25313,42,26170687.29,735911.34,623111.6021428572
NVE Bank,84402,34,13512112.19,493486.0,397415.0644117647
Naheola Credit Union,528823,7,2638587.52,105245.19,376941.0742857143
Nano Banc,450683,19,13398447.62,428393.33,705181.4536842104
Nantahala Bank & Trust Company,398145,25,6802678.0,298933.48,272107.12
National Bank & Trust,70654,6,2351830.86,85347.19,391971.81
National Bank of Commerce,76833,266,131142511.48,4430706.33,493016.96045112784
National Bank of Middlebury,72992,62,18179359.0,752559.75,293215.46774193546
National Bank of St. Anne,22527,12,3755377.89,152747.8,312948.15750000003
"National Cooperative Bank, National Association",89628,131,99882346.51,2566704.7199999997,762460.6603816794
National Exchange Bank and Trust,75818,227,111935920.0,3572446.0,493109.7797356828
National Institutes of Health FCU,98130,23,7559000.0,306479.52,328652.17391304346
National J A C L CU,106877,1,436440.0,13093.2,436440.0
"Native American Bank, National Association",110655,83,55287868.96,1519488.68,666118.9031325302
Native Partnership for Housing,533099,1,236550.0,11827.5,236550.0
Naveo CU,98276,11,3431257.01,135100.25,311932.45545454544
Navigant CU,104771,205,76480353.6,2897193.81,373074.89560975606
Navy FCU,93956,206,64594321.0,2597079.11,313564.6650485437
Nebraska Bank,42153,32,17438586.0,514806.12,544955.8125
Nebraska Bank of Commerce,452248,25,9840507.0,341522.04,393620.28
Nebraska Enterprise Fund,505546,6,11395621.0,161267.91,1899270.1666666667
Nebraska State Bank,42556,7,1691420.74,77168.29,241631.5342857143
Nebraska State Bank and Trust Company,42090,5,1546535.26,59920.31,309307.052
NebraskaLand Bank,122813,139,60981224.71,2118356.26,438713.8468345324
Needham Bank,89236,290,180939089.78,4974078.23,623927.8957931035
Neighborhood Development Center,465406,2,354566.0,17728.300000000003,177283.0
Neighborhood National Bank,38639,37,15401885.87,583378.36,416267.18567567563
Neighborhood National Bank,122100,122,47095245.35,1706989.28,386026.60122950823
Neighborhood Trust FCU,122045,3,1062284.8,35581.14,354094.93333333335
Neighbors FCU,97573,4,2809800.0,88678.0,702450.0
Nekoosa Port Edwards State Bank,76569,23,8470517.12,323140.57,368283.3530434782
Nelsonville Home & Savings,78405,1,185000.0,9250.0,185000.0
Nevada Bank and Trust Company,42748,21,10599364.0,317820.22,504731.61904761905
New Albin Savings Bank,25303,3,743959.97,29290.28,247986.65666666665
New Carlisle Federal Savings Bank,81417,61,25143605.62,856855.41,412190.2560655738
New Dimensions FCU,97939,4,753382.5,37669.130000000005,188345.625
New England FCU,107013,21,7670553.52,293173.14,365264.4533333333
New Era Bank,40481,11,7447715.32,244360.41999999998,677065.0290909092
New Frontier Bank,202872,28,11424777.03,437988.82,408027.75107142853
New Haven Bank,478268,56,21858105.81,806014.86,390323.31803571427
"New Horizon Bank, National Association",470277,25,7411500.0,321273.0,296460.0
New Market Bank,38673,61,21987341.67,749016.92,360448.2240983607
New Mexico Bank & Trust,122820,266,112409118.0,3946942.84,422590.66917293234
New Millennium Bank,124112,74,36957305.9,1218074.27,499423.0527027027
"New Omni Bank, National Association",5891,39,12882958.18,512099.01,330332.261025641
New Orleans Firemens FCU,97744,1,272394.0,13619.7,272394.0
"New Peoples Bank, Inc.",123348,99,37618573.65,1430358.84,379985.5924242424
New Tripoli Bank,61169,44,11248640.22,476588.11,255650.9140909091
New Valley Bank & Trust,526572,189,112029063.87,3362649.57,592746.3696825397
New York Business Development Corporation,224780,888,449771972.0,14471729.22,506499.96846846846
New York University Federal Credit Union,110126,6,1680120.44,75676.61,280020.0733333333
NewBank,444264,49,15956985.66,648645.91,325652.76857142855
NewFirst National Bank,69836,198,80155873.47,2805406.16,404827.6437878788
Newburyport Five Cents Savings Bank,33178,186,76227054.42,2660291.23,409822.87322580646
Newfield National Bank,45091,28,10286618.51,401307.51,367379.2325
Newport News Shipbuilding Empl CU Inc d/b/a BayPort CU,107246,50,28567800.0,829550.0,571356.0
Newrizons FCU,107585,1,300000.0,15000.0,300000.0
"Newtek Small Business Finance, Inc.",317954,2280,1321824585.5,38771157.45,579747.6252192983
Newtown Savings Bank,16403,207,104504672.83,3187303.88,504853.49193236715
"NexTier Bank, National Association",60658,227,122635027.62,3621651.9,540242.4124229075
Nicolet National Bank,203327,1270,615754959.62,19807452.62,484846.4248976378
Ninnescah Valley Bank,25785,1,153880.16,7694.01,153880.16
Nizari Progressive FCU,117062,6,2261414.0300000003,83234.3,376902.3383333334
NobleBank & Trust,436345,105,41747540.11,1478262.03,397595.6200952381
NorState FCU,97902,2,737618.0,26641.04,368809.0
Norstar FCU,105040,1,199400.0,9970.0,199400.0
North Alabama Bank,112964,11,4407529.87,159674.9,400684.53363636363
North American Banking Company,123131,157,84149174.97,2788579.69,535982.0061783439
North Brookfield Savings Bank,33189,28,8531304.9,337615.84,304689.4607142857
North Country FCU,107007,12,3498804.19,143348.86,291567.0158333333
North Dallas Bank & Trust Company,69650,171,68725021.0,2592074.43,401900.70760233916
North Easton Savings Bank,33192,97,38228317.98,1442662.01,394106.370927835
North Georgia National Bank,123197,12,3934905.0,172379.25,327908.75
North Jersey FCU,100962,1,155712.0,7785.6,155712.0
North Shore Bank,79978,95,34070070.98,1270625.33,358632.32610526314
