,ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,EstimatedLenderProfit,AverageLoanAmount
1342,Farm Bureau Bank FSB,124054,41,16323291.25,540519.08,398129.0548780488
2394,Kaw Valley Bank,26525,47,16313027.18,612817.18,347085.68468085106
13,1st Equity Bank,121519,26,16310802.0,536744.3,627338.5384615385
2250,Hometown Bank,86390,37,16305300.0,594127.0,440683.7837837838
3614,State Savings Bank,34939,51,16296700.0,670179.0,319543.137254902
142,"American Bank, National Association",25420,36,16294545.75,514142.75,452626.2708333333
3623,Stillman BancCorp N.A.,22671,44,16292518.92,602772.2,370284.52090909093
1512,First Bank and Trust Co,58891,40,16287236.72,557635.9400000001,407180.918
2089,Great Plains Bank,66517,20,16274250.0,465240.76,813712.5
1520,First Bank of Manhattan,21863,34,16265394.0,522017.27999999997,478393.9411764706
3627,Stockmens Bank,42059,33,16255430.13,473185.19,492588.79181818187
1517,First Bank of Alabama,3305,26,16244775.66,435159.18,624799.0638461539
707,Central Bank & Trust,77202,36,16241271.41,583599.36,451146.42805555556
569,Bruning Bank,42092,26,16209051.65,459896.7,623425.0634615385
1983,Freedom Bank,455592,48,16203587.58,637794.07,337574.74125
1310,FM Bank,38192,35,16202177.8,496039.45,462919.36571428576
4122,The Pecos County State Bank,69927,35,16194226.59,564608.09,462692.1882857143
593,CCB Community Bank,26,45,16193307.06,624038.43,359851.26800000004
1168,Delta Bank,28357,29,16185196.4,530165.48,558110.2206896552
3931,The First National Bank of Absecon,43185,36,16158674.57,514184.25,448852.0713888889
1989,Freedom First FCU,107359,41,16155193.0,622864.8099999999,394029.0975609756
73,"AgSouth Farm Credit, ACA",238223,28,16148744.27,437355.71,576740.8667857143
4101,The National Iron Bank,16148,29,16143767.28,535226.0,556681.6303448275
3163,Potlatch No. 1 Financial Credit Union,525692,35,16142751.0,481788.55,461221.45714285714
3637,Sullivan Bank,41498,46,16142261.22,635364.32,350918.72217391303
4625,bankcda,224567,55,16110600.0,644486.0,292920.0
1768,First Peoples Bank,112834,32,16103167.45,574665.89,503223.9828125
2718,Mississippi River Bank,28107,39,16094087.52,590395.52,412668.91076923074
3426,Security State Bank of Hibbing,38238,34,16088176.05,573064.68,473181.64852941176
39,AMG National Trust Bank,227670,13,16059079.56,315679.6,1235313.8123076924
1085,Cornerstone Bank,124111,40,16050701.21,584858.73,401267.53025
1191,Douglas National Bank,243909,35,15987398.55,535121.39,456782.8157142857
2814,NewBank,444264,49,15956985.66,648645.91,325652.76857142855
4447,Verimore Bank,119096,44,15919976.290000001,609984.8200000001,361817.6429545455
3760,The Bank of Glen Burnie,30660,38,15909701.0,531687.63,418676.34210526315
4139,The Peoples Community Bank,76291,22,15874230.15,396586.31,721555.9159090909
417,Bank of St. Francisville,29277,38,15843437.5,600469.62,416932.5657894737
2336,Iowa State Bank,24540,23,15768720.0,354707.7,685596.5217391305
3770,The Bank of Marion,73524,46,15752785.65,613635.23,342451.86195652175
1058,Concordia Bank & Trust Company,29338,32,15658546.25,541428.34,489329.5703125
3214,Providence Bank,438379,47,15592973.0,660297.89,331765.3829787234
2074,Grand Valley Bank,15543,51,15558416.84,620287.56,305066.9968627451
195,Anchor State Bank,20220,32,15558249.5,525252.89,486195.296875
3592,State Bank of India (California),5759,15,15553116.61,403393.98,1036874.4406666666
3619,Sterling Bank,75627,42,15492569.88,561794.76,368870.71142857143
1301,F&M Bank,19808,32,15423355.620000001,489024.9,481979.86312500003
3435,Seneca Savings,81958,51,15420600.0,647362.0,302364.70588235295
298,Bank Northwest,41011,27,15407099.55,395086.79,570633.3166666667
2789,Neighborhood National Bank,38639,37,15401885.87,583378.36,416267.18567567563
4303,TrustBank,22221,44,15383400.0,595276.0,349622.7272727273
448,Bank of the Southwest,46008,38,15375420.0,538859.0,404616.3157894737
2232,Home Federal Savings & Loan Association of Grand Island,81909,34,15375375.08,540340.53,452216.91411764704
3700,Tennessee State Bank,67003,43,15287234.85,585807.97,355517.08953488374
2942,Oostburg State Bank,76638,41,15278382.23,546345.89,372643.4690243903
4372,United Bank of Union,41696,45,15270740.0,521254.24,339349.77777777775
1576,First Community CU,100231,50,15262676.24,622453.88,305253.5248
3560,St. Mary's CU,98539,51,15252615.0,617025.75,299070.8823529412
854,Citizens State Bank,77103,44,15244681.98,617860.6,346470.045
3422,Security State Bank,76681,15,15232540.45,341445.04,1015502.6966666667
114,Amalgamated Bank of Chicago,20494,31,15228517.18,515778.84,491242.48967741936
2037,GenuBank,455905,37,15220517.77,568126.13,411365.3451351351
3990,The First National Bank of Mount Dora,17491,50,15213727.0,626531.37,304274.54
2221,Holcomb Bank,21539,22,15212489.68,433277.88,691476.8036363636
1238,Elderton State Bank,60143,31,15204651.0,527844.39,490472.6129032258
1276,EverTrust Bank,119161,31,15202450.0,552347.5,490401.6129032258
2920,Oklahoma State Bank,124259,33,15192403.31,553124.54,460375.8578787879
2967,Ozona Bank,71558,50,15164562.61,604517.3,303291.2522
3116,Pineland Bank,17808,31,15130930.0,489001.9,488094.51612903224
1955,Forte Bank,75979,48,15107792.24,620120.33,314745.6716666667
3413,Security Service FCU,106458,60,15092166.88,655299.87,251536.1146666667
3467,Simply Bank,68878,36,15031490.86,519566.96,417541.41277777776
3478,"SoFi Bank, National Association",111209,43,15030756.0,580159.86,349552.4651162791
1208,ELGA CU,98882,57,15028000.0,653566.0,263649.1228070175
3190,Prime Security Bank,38270,37,15002200.0,517544.0,405464.86486486485
4405,Unity Bank,75605,41,14999775.02,561540.09,365848.1712195122
367,"Bank of Hillsboro, National Association",22110,40,14988549.969999999,538657.4,374713.74925
3498,South Metro FCU,118811,12,14985620.62,374344.88,1248801.7183333333
1764,First Option Bank,26264,35,14982054.8,472135.43,428058.7085714286
971,Community Bank Delaware,441170,49,14977962.51,627239.45,305672.7042857143
1210,ESB Financial,25816,40,14973435.9,574733.84,374335.8975
327,Bank of Cleveland,111724,36,14944707.0,551059.51,415130.75
3879,The Fahey Banking Company,57764,26,14930439.39,413863.69,574247.6688461539
726,Century Bank,39529,37,14928869.54,475842.81,403482.9605405405
3610,State Nebraska Bank & Trust,42707,22,14919585.2,382041.63,678162.9636363636
1224,Eastern Connecticut Savings Bank,78703,39,14914304.6,571585.33,382418.06666666665
99,Allied First Bank,118903,27,14877806.14,454289.02,551029.857037037
4381,"United Community Bank of West Kentucky, Inc.",248970,39,14851568.0,568256.22,380809.4358974359
2636,Merchants & Farmers Bank & Trust Company,28364,30,14847752.0,525084.36,494925.06666666665
4365,United Bank,89892,42,14818143.69,588118.1799999999,352812.945
1607,"First Federal Community Bank, SSB",77479,26,14806720.6,444825.37,569489.2538461538
3088,Peoples Trust Company of St. Albans,73031,40,14805425.39,545940.43,370135.63475
3179,Premier Bank of the South,112149,38,14802795.83,560566.12,389547.25868421054
3632,Studio Bank,520930,43,14790271.72,558320.63,343959.8074418605
1248,Embers CU,99133,33,14748938.47,523137.03,446937.5293939394
3194,Primebank,25182,41,14745228.0,546502.0,359639.7073170732
967,Community Bank,88774,35,14730503.92,520690.61,420871.54057142854
1601,First Federal Bank & Trust,82011,32,14723806.09,528581.02,460118.9403125
3554,St. Johns Bank and Trust Company,41370,37,14681516.42,496419.1,396797.7410810811
770,Citizens Bank,23997,44,14654100.0,594901.0,333047.7272727273
4301,Truliant FCU,102238,48,14649360.1,612098.96,305195.0020833333
679,Cayuga Lake National Bank,46034,25,14642589.04,494294.83,585703.5616
2981,Pacific National Bank,17297,40,14639380.0,539219.36,365984.5
3918,The First National Bank and Trust Company of Broken Arrow,58802,36,14615932.01,568877.45,405998.1113888889
1249,Embold Federal Credit Union,103648,47,14611251.09,585055.6,310877.68276595743
2953,Oregon State CU,103748,40,14609170.37,555133.78,365229.25925
1510,First Bank Kansas,26406,25,14566037.51,443570.06,582641.5004
2644,Merchants Commercial Bank,444422,53,14561403.0,638412.39,274743.4528301887
236,Astra Bank,25706,22,14540964.01,422718.06,660952.9095454545
685,CedarStone Bank,378043,44,14531104.4,537128.71,330252.37272727274
4430,Valley First CU,91968,49,14530097.49,605895.35,296532.6018367347
1022,Community First Guam FCU,95173,38,14510012.2,543930.07,381842.42631578946
1534,First Carolina Bank,203771,33,14492220.0,537015.04,439158.1818181818
601,CLB The Community Bank,28324,18,14485574.8,334628.02,804754.1555555556
4001,The First National Bank of Sonora,71912,43,14478646.0,576947.62,336712.6976744186
700,Centra CU,96362,52,14450329.29,617984.49,277890.9478846154
2603,Mars Bank,61021,36,14417846.14,550626.54,400495.7261111111
924,Column National Association,440193,49,14394530.1,598123.53,293765.9204081633
1236,Edmonton State Bank,26977,40,14370167.64,530812.19,359254.191
272,BOC Capital Corportion,445285,30,14360809.27,506314.5,478693.6423333333
4409,University Bank,36179,34,14360315.82,541424.71,422362.23
4271,Travis CU,93042,30,14343224.99,518972.63,478107.49966666667
4489,Washington Business Bank,256496,40,14322366.75,529624.94,358059.16875
1370,Farmers & Merchants Union Bank,75733,23,14314361.2,400964.33,622363.5304347826
2027,General Electric CU,102927,33,14294185.99,497580.09,433157.15121212124
2962,Outdoor Bank,26123,24,14263641.24,365939.27,594318.385
2327,Interstate Bank,88608,22,14248263.6,425837.0,647648.3454545455
501,Belgrade State Bank,40121,28,14222293.0,448601.69,507939.03571428574
3184,PremierBank,75838,35,14217762.0,512661.6,406221.77142857143
4133,The Peoples Bank,39728,26,14197300.0,397405.0,546050.0
4503,Waterman Bank,22805,25,14195659.0,475950.73,567826.36
1981,Freedom Bank,124098,34,14174000.0,474416.0,416882.35294117645
850,Citizens State Bank,71873,41,14172815.97,541975.52,345678.4382926829
3859,The Cottonport Bank,28177,44,14140360.73,560220.23,321371.8347727273
4158,The Queenstown Bank of Maryland,30851,43,14137100.0,554805.0,328769.76744186046
808,"Citizens Bank of West Virginia, Inc",75110,45,14134007.02,588571.11,314089.0448888889
3368,Savers Co-Operative Bank,89242,34,14128503.0,473340.93,415544.20588235295
2247,Homeland Federal Savings Bank,110343,38,14119082.98,532213.6799999999,371554.8152631579
901,Coast Central CU,92064,49,14084237.0,558023.71,287433.4081632653
1887,First Texas Bank,69221,25,14072718.5,437339.61,562908.74
1689,First National Bank Northwest Florida,17535,28,14063501.709999999,438256.4,502267.9182142857
4516,Wayne County Bank,68917,29,14054571.0,462631.23,484640.3793103448
3938,The First National Bank of Ballinger,69012,29,14031739.53,500706.16000000003,483853.0872413793
1532,First Capital Bank,123953,40,14012619.0,539499.31,350315.475
2163,Haven Savings Bank,85714,42,13997810.25,567397.36,333281.1964285714
2897,ONB Bank,120125,38,13996613.42,544545.92,368331.9321052632
2004,Frontier State Bank,59191,30,13983800.0,505576.0,466126.6666666667
302,Bank Star,41202,43,13981203.5,555647.03,325144.26744186046
4311,Twin City Bank,124393,32,13977522.17,492997.26,436797.5678125
468,BankTennessee,122149,44,13960611.58,569953.91,317286.62681818183
1157,De Witt Bank & Trust Co.,24909,26,13939944.0,440084.32,536151.6923076923
824,Citizens First Bank,124516,36,13920915.48,526545.5,386692.0966666667
638,Cape Ann Savings Bank,32738,39,13919966.67,550860.34,356922.2223076923
218,Armor Bank,121631,35,13919319.96,520443.35,397694.856
1282,Evergreen National Bank,15420,35,13916178.86,472953.04,397605.11028571427
1604,First Federal Bank of Wisconsin,87126,40,13909602.24,529164.11,347740.056
1687,First National Bank Minnesota,38865,36,13858220.78,477413.48,384950.57722222223
3423,Security State Bank,77108,46,13835159.0,576754.27,300764.32608695654
2555,MNB Bank,42346,33,13831837.34,423911.82,419146.58606060606
785,Citizens Bank & Trust Co.,4818,35,13830269.06,500544.02,395150.54457142856
4310,Tustin Community Bank,110319,38,13815922.82,547994.14,363576.9163157895
4282,"Triad Bank, National Association",59443,31,13791344.55,434215.23,444882.08225806453
615,CUSB Bank,24814,21,13768179.0,348778.13,655627.5714285715
970,Community Bank & Trust-West Georgia,19515,24,13768068.26,431943.1,573669.5108333334
586,Byron Bank,20369,45,13766212.65,553128.78,305915.83666666667
1255,Empower FCU,101315,33,13762743.8,405275.77,417052.84242424247
4379,United Community Bank,38738,28,13752898.01,472099.33999999997,491174.9289285714
82,Alden State Bank,33523,40,13712438.72,546533.74,342810.968
4403,United Valley Bank,52701,40,13698074.25,549503.98,342451.85625
488,Bay Bank,119174,35,13694950.1,503031.91,391284.28857142857
3548,Springs Valley Bank & Trust Company,23165,40,13693834.62,535496.85,342345.86549999996
3765,The Bank of Jackson,121542,32,13647893.46,433507.35,426496.670625
519,Black Hills FCU,105034,31,13641342.52,434406.89,440043.30709677417
1159,Dean Co-Operative Bank,89080,46,13630273.0,567873.73,296310.2826086957
351,Bank of Farmington,21372,30,13599480.0,494405.74,453316.0
1045,Community State Bank,25766,14,13591974.22,251744.83,970855.3014285715
1552,First Commerce CU,94272,37,13513854.85,515984.28,365239.3202702703
929,Commerce Bank,70698,37,13512900.0,508999.0,365213.5135135135
2764,NVE Bank,84402,34,13512112.19,493486.0,397415.0644117647
3086,Peoples State Bank of Plainview,38759,25,13510327.0,418799.07,540413.08
1896,First US Bank,3307,37,13500098.0,485686.0,364867.5135135135
421,Bank of Sunset & Trust Company,29313,28,13472736.9,434991.85,481169.175
891,Clearinghouse CDFI PPP,529371,39,13458863.1,516889.67,345099.05384615384
4252,Town & Country Bank,41381,29,13427317.0,377709.49,463010.9310344828
4259,Town and Country CU,102578,33,13414685.0,462330.73,406505.6060606061
2766,Nano Banc,450683,19,13398447.62,428393.33,705181.4536842104
3703,"Terrabank, National Association",17469,34,13371810.61,505666.9,393288.5473529412
2115,Grinnell State Bank,25054,29,13371634.02,478862.94,461090.82827586203
401,Bank of O'Fallon,22208,41,13333031.18,518138.64,325195.8824390244
4412,University FCU,106661,37,13255421.46,449589.58,358254.6340540541
1742,First National Bank of South Carolina,66145,45,13243455.14,536458.23,294299.0031111111
1158,DeMotte State Bank,23051,35,13242280.18,516307.87,378350.8622857143
3856,The Cooperative Bank,89210,35,13239943.5,482752.29,378284.1
1363,Farmers & Merchants Bank of Colby,122661,25,13230889.68,396384.94,529235.5872
2061,"Golden State Farm Credit, ACA",528992,25,13229013.44,393821.61,529160.5375999999
1266,Enterprise Bank of South Carolina,65983,24,13224500.0,380559.0,551020.8333333334
2178,Heartland CU,97218,46,13222982.0,568836.88,287456.1304347826
2440,Lake Community Bank,38325,26,13200462.5,414418.33,507710.0961538461
3522,Southern Independent Bank,444795,28,13199697.98,458592.64999999997,471417.78500000003
3362,Santa Cruz Community CU,109692,30,13179114.07,405262.23,439303.80233333335
2111,Greenville National Bank,57625,33,13151382.5,476886.34,398526.74242424243
3417,Security State Bank,26428,22,13145808.0,374260.72000000003,597536.7272727273
4455,Verus Bank of Commerce,434659,29,13132929.53,455696.85000000003,452859.6389655172
3348,Salem Co-operative Bank,78004,36,13119052.0,515071.38,364418.1111111111
1673,First National Bank,38099,37,13107642.86,524930.84,354260.61783783784
4335,Ulster Savings Bank,47356,17,13101585.34,397547.72,770681.4905882353
3403,Security Federal Savings Bank,80388,42,13094209.0,547176.71,311766.88095238095
1905,First Vision Bank of Tennessee,437145,46,13086800.0,566324.0,284495.652173913
870,City Bank & Trust Co.,42145,27,13070030.85,462265.55,484075.2166666667
3238,RVR Bank,42185,28,13068409.79,460611.24,466728.9210714285
1315,"FNB Bank, Inc.",27599,44,13035857.68,540247.01,296269.49272727274
532,BlueHarbor Bank,453003,36,13020408.67,493660.22000000003,361678.0186111111
4248,Torrington Savings Bank,16513,35,13003932.38,523426.04,371540.9251428572
455,BankFirst,42376,39,13003556.48,524272.64,333424.52512820513
932,CommerceOne Bank,520783,35,12998588.39,507104.87,371388.2397142857
717,Central State Bank,1876,49,12988300.08,529968.15,265067.34857142856
2419,Kirkwood Bank & Trust Co,52673,29,12982380.0,475499.0,447668.275862069
4382,United Cumberland Bank,27983,27,12940253.45,471966.34,479268.64629629627
237,Athol Savings Bank,30964,31,12926162.0,462861.54,416972.96774193546
386,Bank of Madison,19571,28,12910432.4,462531.52999999997,461086.87142857147
3946,The First National Bank of Cokato,36741,29,12899553.3,432415.21,444812.1827586207
2335,Iowa Savings Bank,24796,26,12891100.9,393595.17,495811.5730769231
2591,Marathon Bank,82966,27,12891015.14,454883.3,477445.00518518523
2807,"New Omni Bank, National Association",5891,39,12882958.18,512099.01,330332.261025641
2328,Intracoastal Bank,456078,42,12860642.43,550881.84,306205.77214285714
3540,Spokane Teachers CU,107699,47,12846087.0,530203.35,273321.0
3004,Partners Bank of New England,29885,49,12831692.99,622827.91,261871.2855102041
3239,Raccoon Valley Bank,25374,38,12815363.0,494283.65,337246.3947368421
1740,First National Bank of Pulaski,68796,39,12809224.35,499736.62,328441.64999999997
4313,TwinStar Credit Union,107757,51,12803325.37,575548.17,251045.59549019605
3121,Pinnacle Bank,121641,45,12797935.4,526250.76,284398.56444444443
4446,Veridian CU,96989,26,12794945.0,453501.79,492113.26923076925
2671,Mid Oregon FCU,103727,21,12768434.0,328828.8,608020.6666666666
3420,Security State Bank,71580,29,12743987.84,457185.11,439447.85655172414
3108,Pike National Bank,39572,35,12736461.0,473441.83,363898.8857142857
186,Americana Community Bank,38900,34,12724856.76,474320.95,374260.49294117646
2651,Meritrust Federal Credit Union,97319,26,12714861.0,391663.49,489033.1153846154
3099,Phelps County Bank,41259,37,12670532.37,482256.9,342446.8208108108
549,Branson Bank,124508,40,12662444.1,512419.1,316561.1025
1959,Forum CU,96521,38,12657427.0,496997.81,333090.1842105263
557,Bridge Community Bank,25256,16,12646425.2,284770.06,790401.575
4106,The North Salem State Bank,24090,34,12637313.0,467031.65,371685.67647058825
3581,State Bank of Chilton,75717,37,12630174.290000001,495268.48,341356.06189189194
2212,Highlands Community Bank,276736,31,12602780.0,473043.0,406541.29032258067
1853,First State Bank and Trust,26485,39,12579740.0,497800.62,322557.4358974359
4142,The Peoples State Bank,23067,31,12568233.13,476754.93,405426.87516129034
4166,The Savings Bank,33385,37,12563848.52,493831.24,339563.4735135135
4090,The Missouri Bank,41734,35,12553098.18,458459.13,358659.948
4174,The Shelby State Bank,35312,38,12514353.3,503398.02,329325.08684210526
3110,Pilgrim Bank,71606,27,12497200.0,409124.0,462859.25925925927
2695,"Midwest Heritage Bank, F.S.B.",119840,30,12485335.69,399779.59,416177.8563333333
332,Bank of Commerce,58831,26,12440925.98,366590.3,478497.1530769231
812,"Citizens Bank, National Association",70644,27,12410346.68,393678.06,459642.46962962963
3038,Peoples Bank,25049,30,12391300.0,437653.0,413043.3333333333
775,Citizens Bank,41168,25,12390594.0,433438.14,495623.76
1567,First Community Bank and Trust,20323,32,12361869.54,463051.2,386308.423125
122,AmeriState Bank,58753,29,12351145.3,453665.68,425901.5620689655
3940,The First National Bank of Bastrop,69015,33,12346500.0,465419.0,374136.36363636365
230,Asian Bank,123090,14,12325502.55,256912.71000000002,880393.0392857144
4255,Town & Country Bank and Trust Company,26783,40,12310759.17,501776.7,307768.97925
3199,PriorityOne Bank,39546,47,12309704.63,528703.57,261908.6091489362
3450,Sherburne State Bank,38878,41,12303215.33,484605.65,300078.4226829268
2565,Madison Valley Bank,41911,35,12270550.42,490608.8,350587.1548571428
2267,Houghton State Bank,25408,15,12232435.5,247194.5,815495.7
193,Anchor Bank,433872,32,12227217.27,456172.59,382100.5396875
1906,First Western Bank,4163,22,12218213.85,357042.51,555373.3568181818
2522,Little Horn State Bank,41932,16,12215961.57,250167.56,763497.598125
948,Commercial Savings Bank,24655,27,12214736.0,402497.26,452397.6296296296
1589,First Farmers & Merchants Bank,39034,28,12213472.0,452137.62,436195.4285714286
1591,First Farmers & Merchants National Bank,116933,14,12210474.0,225081.12,872176.7142857143
1855,"First State Bank and Trust Company, Inc.",40219,28,12205055.14,400597.29,435894.8264285714
2490,Leominster CU,98381,16,12199377.62,261736.80000000002,762461.10125
2083,Great American Bank,124363,45,12191268.39,531587.8,270917.07533333334
3793,The Brenham National Bank,69085,36,12187755.0,463414.59,338548.75
263,BANKWEST,38796,42,12167823.0,517319.55,289710.0714285714
999,Community CU of Florida,94142,40,12167495.93,480830.48,304187.39824999997
334,Bank of Commerce,296974,27,12162223.72,421649.37,450452.7303703704
1909,"First Western SBLC, Inc",188665,31,12159126.0,449336.1,392229.87096774194
2240,Home State Bank,38267,35,12158578.76,479202.27,347387.96457142854
3220,Purdue FCU,96330,36,12130546.18,466886.8,336959.6161111111
3034,People's Bank of Seneca,119853,35,12119015.9,488680.58,346257.59714285715
1859,First State Bank of Burnet,69132,23,12089081.05,420851.46,525612.2195652174
2438,Lake Central Bank,36601,24,12087925.0,380408.57,503663.5416666667
4413,University First FCU,106961,36,12083017.32,476954.35,335639.37
1117,Crest Savings Bank,80150,49,12069204.39,535533.37,246310.2936734694
4184,The State Bank of Faribault,38055,42,12050224.7,511055.98,286910.11190476187
2341,"Iowa State Bank and Trust Company of Fairfield, Iowa",24991,15,12044904.57,261217.83,802993.638
2375,Jones Bank,42634,20,12041035.42,294884.38,602051.771
286,Bank & Trust Company,21798,30,12026563.95,458385.42,400885.46499999997
2632,Members Cooperative CU,99625,24,12026321.65,358472.57,501096.73541666666
3067,Peoples Community Bank,40605,36,12020224.39,455944.22000000003,333895.1219444445
2744,"Mountain Valley Bank, National Association",75317,27,12004285.6,423482.52999999997,444603.1703703704
2856,Northeast Security Bank,25019,18,11980383.79,315563.73,665576.8772222222
1087,Cornerstone Bank,462675,29,11964306.57,450028.94,412562.2955172414
42,"ANZ Guam, Inc",117057,33,11940948.81,440246.23,361846.93363636365
1756,First New Mexico Bank,45765,32,11928993.34,452994.97,372781.041875
3925,The First National Bank in Creston,24817,20,11924300.0,300023.0,596215.0
120,AmeriFirst Bank,3328,39,11924185.6,482617.52,305748.3487179487
3650,Suncoast CU,94371,44,11911224.620000001,501295.21,270709.65045454545
4515,Wayne Bank and Trust Co.,22992,19,11904804.0,316679.7,626568.6315789474
1432,Farmers and Merchants Bank,39079,39,11872166.4,492141.76,304414.5230769231
4395,United Savings Bank,80228,37,11859632.23,479522.34,320530.6008108108
539,Bogota Savings Bank,84508,33,11854820.69,461754.45,359236.9906060606
1161,Decatur County Bank,66917,27,11848937.040000001,382949.4,438849.52
2217,Hingham Institution for Savings,32859,17,11841270.13,313648.75,696545.3017647059
3052,Peoples Bank & Trust,19159,33,11811427.69,432362.26,357922.0512121212
666,Carver State Bank,19680,15,11802141.0,337254.81,786809.4
1482,"First & Farmers National Bank, Inc.",26900,30,11800943.15,380427.68,393364.77166666667
112,Alva State Bank & Trust Company,58720,26,11796782.36,403096.21,453722.3984615384
1997,Friend Bank,3282,29,11790635.42,391572.54,406573.6351724138
1787,First Security Bank,39084,35,11779763.04,465746.15,336564.6582857143
199,Andrew Johnson Bank,67015,29,11745968.19,438442.28,405033.385862069
3054,Peoples Bank & Trust Co.,40626,34,11739122.91,461454.11,345268.32088235294
1844,First State Bank,72194,36,11726391.8,450626.59,325733.10555555555
3888,The Farmers Bank of Willards,30926,37,11714815.85,481273.08,316616.6445945946
923,Columbus Bank and Trust Company,42125,37,11697173.5,473749.4,316139.8243243243
2002,Frontier Community Bank,453576,31,11696732.81,419677.84,377313.9616129032
3302,RiverHills Bank,39691,29,11689145.39,438105.49,403073.97896551725
280,"BancCentral, National Association",58723,25,11687471.53,407553.12,467498.8612
3335,SAFE CU,92654,51,11667431.55,548529.02,228773.16764705884
4440,Vantage West CU,91305,37,11625620.0,486498.76,314205.9459459459
2527,Logan Bank & Trust Company,75178,40,11608568.0,478099.32,290214.2
4284,Triangle CU,100704,30,11597446.790000001,436344.1,386581.5596666667
86,Allegacy FCU,102274,36,11580095.62,465120.14,321669.32277777774
3774,The Bank of New Glarus,76576,24,11573861.57,413345.49,482244.23208333337
1852,First State Bank and Trust,22087,42,11560364.0,484306.82,275246.7619047619
1300,"F & M Community Bank, National Association",38766,33,11548269.0,458359.45,349947.54545454547
2658,Metro Bank,112867,28,11548235.42,379649.14,412436.9792857143
746,Charter Bank,122736,28,11524700.0,444500.0,411596.4285714286
2405,Kentland Bank,23802,34,11508800.0,444204.0,338494.1176470588
719,Central State Bank,25502,24,11497400.0,406088.0,479058.3333333333
4168,The Security National Bank of Enid,58938,31,11496483.65,434194.98,370854.31129032257
1720,First National Bank of Decatur County,377984,20,11489560.22,310844.86,574478.011
2481,Legacy State Bank,433859,30,11482790.89,422764.01,382759.6963333333
1982,Freedom Bank,434041,30,11453231.0,409951.25,381774.36666666664
2093,Great Southern Bank,39708,24,11438300.15,394390.77,476595.83958333335
959,Community 1st Bank Las Vegas,45818,25,11435761.1,373844.78,457430.44399999996
2801,New Frontier Bank,202872,28,11424777.03,437988.82,408027.75107142853
1389,Farmers Savings Bank,76539,29,11404823.38,361189.22,393269.77172413794
2783,Nebraska Enterprise Fund,505546,6,11395621.0,161267.91,1899270.1666666667
304,Bank of Abbeville & Trust Company,27999,20,11390693.77,340594.12,569534.6884999999
2175,Heartland Bank,42196,23,11388564.5,302816.22,495154.97826086957
796,Citizens Bank of Ada,58692,24,11381211.04,346890.82,474217.12666666665
1737,First National Bank of Pana,22270,27,11379939.77,387506.29,421479.25074074074
3573,State Bank & Trust Co.,25302,14,11370196.68,266928.84,812156.9057142857
1169,Delta Community CU,94912,38,11368623.33,475879.11,299174.29815789475
2253,Hometown Bank of Pennsylvania,447042,15,11368599.0,294369.01,757906.6
2675,"Mid-Atlantic Farm Credit, ACA",323403,25,11367254.92,398523.19,454690.1968
107,Altamaha Bank & Trust Company,19765,29,11330551.43,438959.12,390708.67
660,Carson Bank,26195,33,11296681.65,440465.49,342323.6863636364
2188,Heritage Bank,42722,41,11255913.86,487560.91000000003,274534.4843902439
3763,The Bank of Herrin,21513,30,11255185.16,429460.7,375172.83866666665
2810,New Tripoli Bank,61169,44,11248640.22,476588.11,255650.9140909091
370,Bank of Holly Springs,39223,20,11217132.0,387930.2,560856.6
4509,Waukon State Bank,25556,27,11209572.89,427281.54,415169.3662962963
1259,Englewood Bank & Trust,112136,31,11199037.0,426417.34,361259.2580645161
1952,Foresight Bank,38758,23,11186079.0,399253.55,486351.26086956525
3924,The First National Bank in Carlyle,20414,23,11175075.0,334732.25,485872.82608695654
1317,FNB Community Bank,59070,19,11174135.82,286214.87,588112.4115789473
4331,Uinta Bank,77214,24,11163846.18,402953.85,465160.2575
4553,Westby Co-op CU,108493,20,11145880.97,341199.81,557294.0485
3085,Peoples State Bank of Munising,36161,14,11129867.92,257199.24,794990.5657142857
2239,Home State Bank,25122,17,11126979.0,304953.81,654528.1764705882
3021,Pearland State Bank,71579,27,11084534.0,417146.1,410538.2962962963
4471,Visions FCU,101503,27,11065718.59,393257.27,409841.42925925925
847,Citizens State Bank,69126,11,11062084.0,212392.84,1005644.0
2448,Lake Trust CU,98829,31,11051380.85,433105.81,356496.1564516129
457,BankFlorida,449863,23,11048867.92,386847.08,480385.5617391304
1125,Crossroads Bank,72200,27,11046700.0,361593.0,409137.037037037
4518,Waypoint Bank,42141,23,11045900.0,398035.0,480256.52173913043
3161,Port Richmond Savings,89137,33,11042319.49,426269.4,334615.7421212121
340,"Bank of DeSoto, National Association",69703,32,11031292.0,430870.6,344727.875
3947,The First National Bank of Dennison,57512,27,11025731.12,401242.46,408360.4118518518
2378,Jonestown Bank and Trust Company,60634,30,11025265.0,432781.35,367508.8333333333
4391,United National Bank,124530,30,11017340.0,416154.2,367244.6666666667
1179,Diamond Bank,4604,29,11014339.55,413037.34,379804.8120689655
3621,"Sterling Federal Bank, F.S.B.",77441,31,11003984.0,427006.4,354967.22580645164
548,Brannen Bank,17190,39,10989346.73,466508.59,281778.1212820513
2174,Heartland Bank,25488,12,10971228.0,239297.72,914269.0
3631,Stryv Bank,26661,29,10970156.94,418955.44,378281.2737931034
3439,Service FCU,100684,25,10969233.77,394629.43,438769.35079999996
