,ServicingLenderName,ServicingLenderLocationID,LoanNumber,CurrentApprovalAmount,EstimatedLenderProfit,AverageLoanAmount
2262,Horicon Bank,75995,162,64409790.0,2321263.7,397591.2962962963
1163,Dedham Institution for Savings,32760,135,64132169.95,1971702.64,475053.1107407408
1931,Flagler Bank,124448,154,64093857.0,2332603.25,416193.8766233766
4460,Village Bank,118028,129,63836461.07,2000308.73,494856.2873643411
2352,Ixonia Bank,76017,91,63703433.4,1791603.77,700037.7296703296
4285,"Trinity Bank, National Association",323316,129,63614250.89,2070768.89,493133.7278294574
3758,The Bank of Elk River,38030,122,63606345.0,2051874.18,521363.48360655736
712,Central National Bank,26025,99,63432445.0,1769340.65,640731.7676767677
3142,Planters Bank & Trust Company,39763,142,62996710.83,2038259.54,443638.8086619718
805,Citizens Bank of Las Cruces,45799,157,62860041.33,2224903.75,400382.4288535032
2418,Kirkpatrick Bank,58915,146,62756404.36,2169676.83,429838.38602739724
1633,First Freedom Bank,440697,129,62736547.61,1799749.9,486329.82643410855
2014,GBank,450833,114,62533700.0,1849501.0,548541.2280701754
3139,Plains State Bank,71611,162,62507744.17,2332939.5,385850.272654321
251,Availa Bank,24654,129,62405976.34,2000611.75,483767.2584496124
1951,"Forcht Bank, National Association",282649,133,62307772.79,1979289.16,468479.4946616541
4506,Watertown Savings Bank,50344,158,62238715.0,2249010.27,393915.917721519
2095,Greater Community Bank,119898,92,62156913.49,1849256.87,675618.6248913044
941,Commercial Bank and Trust Company,68760,150,62117797.22,2115051.08,414118.6481333333
1776,First Resource Bank,434113,138,62073971.62,1912439.95,449811.3885507246
668,Cashmere Valley Bank,74207,164,61916698.88,2213183.18,377540.8468292683
466,BankSouth,121556,135,61837417.0,2156979.04,458054.94074074074
3911,The First Bank of Greenwich,445024,123,61801109.98,2087268.24,502448.04861788615
4614,Wright Patt CU Inc,103436,145,61646441.55,2126657.94,425147.87275862065
3787,The Bennington State Bank,25713,99,61572160.11,1859488.76,621941.0112121212
4074,The Lowell Five Cent Savings Bank,32962,158,60989084.31,2270518.7,386006.862721519
2786,NebraskaLand Bank,122813,139,60981224.71,2118356.26,438713.8468345324
3329,Royal Banks of Missouri,41706,116,60655997.91,1931905.49,522896.53370689653
3539,SpiritBank,58789,93,60624200.61,1731744.87,651873.1248387097
1129,"Crystal Lake Bank & Trust Company, National Association",122557,131,60305729.0,2020600.71,460349.0763358779
990,Community Bank of Santa Maria,223442,128,60284166.0,1934345.68,470970.046875
1097,Coulee Bank,76066,125,60049285.89,2045764.37,480394.28712
655,Carolina Bank & Trust Co.,66176,135,59882242.23,2139894.22,443572.16466666665
3173,Premier Bank,38359,141,59874785.85,1972185.29,424643.87127659575
1551,First Commerce Bank,437880,166,59815645.59,2299898.72,360335.2143975904
1772,"First Pioneer Farm Credit,  ACA",463720,120,59700094.0,1745756.6,497500.7833333333
4608,Woori America Bank,49409,205,59657364.56,2461951.98,291011.5344390244
1338,Fall River Five Cents Savings Bank d/b/a BankFive,32792,166,59601285.34,2269285.94,359043.88759036147
2566,Magnifi Financial CU,99711,133,59461168.96,1906057.68,447076.45834586467
3622,Sterling State Bank,36611,136,59442942.97,2051277.08,437080.46301470586
3207,Progressive Bank,29371,131,59431680.75,2049276.32,453676.95229007635
1283,Evolve Bank and Trust,4653,107,59357600.0,1816110.0,554743.9252336449
2374,Jonah Bank of Wyoming,442331,138,59129586.85,2088881.55,428475.26702898555
4465,Virginia Partners Bank,457564,167,59040795.0,2193139.75,353537.6946107784
2870,Northstar Bank,222717,128,58949667.02,2040053.7,460544.27359375
1462,Fidelity Co-Operative Bank,80075,142,58918795.02,2086143.12,414921.0916901409
4605,Woodlands National Bank,38241,107,58872400.1,1853270.4,550209.3467289719
4116,The Paducah Bank and Trust Company,27680,123,58676939.59,1888466.76,477048.2893495935
1868,First State Bank of Middlebury,23975,131,58644713.83,2013178.74,447669.57122137403
873,"City First Bank, National Association",123224,85,58537232.31,1483600.98,688673.3212941177
3669,Sutton Bank,53273,105,58522935.02,1734002.35,557361.285904762
3369,SaviBank,434058,148,58371590.0,2164807.7,394402.63513513515
2155,Harford Bank,29905,189,58140981.0,2398543.89,307624.2380952381
252,Avidbank,338061,69,57966813.03,1644251.09,840098.7395652174
1999,Frontier Bank,42342,108,57937652.0,1861289.88,536459.7407407408
1648,First Internet Bank of Indiana,123409,155,57913306.65,2088372.9,373634.2364516129
1566,First Community Bank,122113,116,57860462.49,1881786.86,498797.0904310345
2717,Mission Valley Bank,224981,97,57666597.11,1664127.22,594501.0011340206
2241,"Home State Bank, National Association",21163,149,57579851.0,2088535.59,386441.95302013424
1263,Enterprise Bank,122687,125,57363000.62,1906091.65,458904.00496
564,Broadview Federal Credit Union,101888,121,57324289.88,1865505.55,473754.46181818185
2299,Independent Bank,122688,94,57320239.17,1734990.34,609789.7784042553
1083,Cornerstone Bank,42727,94,57189800.0,1549405.68,608402.1276595745
621,California CU,92261,123,57188012.42,1985827.05,464943.1904065041
3404,Security Financial Bank,75761,95,57175730.97,1777175.99,601849.7996842106
4590,Wilson Bank & Trust,111740,179,57108212.0,2280048.08,319040.2905027933
1766,First Pacific Bank,443943,92,56708470.0,1588265.48,616396.4130434783
2571,Main Bank,45715,115,56612003.74,1901069.18,492278.2933913044
3402,Security Federal Bank,88630,160,56595479.8,2150969.06,353721.74874999997
1972,Franklin Bank & Trust Company,27010,87,56456600.0,1633092.0,648926.4367816092
3056,Peoples Bank and Trust Company,26165,97,56216375.47,1639619.22,579550.2625773195
20,1st Summit Bank,65256,137,56187932.94,1984407.61,410130.8973722628
2321,International Bank of Chicago,117945,125,56042801.54,1943391.73,448342.41232
324,Bank of Charles Town,75098,125,56019176.5,1818629.95,448153.412
1957,Fortis Private Bank,121395,101,56013195.0,1574660.49,554586.0891089109
2206,Hickory Point Bank and Trust,21387,165,55850742.38,2203115.04,338489.3477575758
277,Baker Boyer National Bank,74941,119,55833878.86,1733159.85,469192.2593277311
759,"Chino Commercial Bank, N.A.",188900,147,55738996.78,2084628.01,379176.84884353745
2233,Home Federal Savings Bank,81242,125,55738447.36,1883397.02,445907.57888
125,America's Christian CU,92358,119,55725425.0,1933847.25,468280.8823529412
2594,Marine Bank & Trust Company,121441,150,55579309.33,2089797.63,370528.7288666667
3863,The Dart Bank,36093,131,55579126.75,1783656.35,424268.143129771
1669,First National Bank,4641,126,55403353.23,1929097.56,439709.1526190476
1553,First Commercial Bank,202885,111,55370350.95,1873520.56,498831.99054054054
1925,Firstar Bank,59271,103,55340800.87,1783550.96,537289.3288349514
2776,"Native American Bank, National Association",110655,83,55287868.96,1519488.68,666118.9031325302
2107,Greenfield Savings Bank,32838,161,55262985.72,2158336.17,343248.35850931675
1399,Farmers State Bank,25235,120,55189400.0,1961850.0,459911.6666666667
1359,Farmers & Merchants Bank,73976,112,55173567.0,1865635.69,492621.1339285714
1616,First Federal Savings Bank of Twin Falls,80257,125,55065487.76,1928111.76,440523.90207999997
4469,VisionBank,435423,114,54893100.0,1806501.0,481518.4210526316
1104,Countybank,66123,139,54744967.15,2053997.52,393848.6845323741
4104,The Nodaway Valley Bank,41121,115,54630620.0,1787241.7,475048.8695652174
1337,Falcon National Bank,328519,136,54490891.62,1970453.22,400668.3207352941
2498,Liberty Bank,465446,115,54370179.14,1779386.81,472784.1664347826
2578,Mainstreet Community Bank of Florida,342931,156,54341270.0,2091914.74,348341.4743589744
4378,United Community Bank,29249,86,54317947.44,1537445.93,631604.0399999999
3752,The Bank of Canton,32735,105,54195525.19,1709648.14,516147.85895238095
2040,Georgia Primary Bank,451141,138,54040057.69,1941807.43,391594.620942029
2322,International Bank of Commerce,69098,100,53842700.0,1614207.0,538427.0
3452,Shinhan Bank America,112966,164,53815152.0,2130171.1,328141.1707317073
4249,Touchmark National Bank,453415,109,53789091.99,1758635.37,493477.90816513763
2423,"Kleberg Bank, National Association",70615,103,53695358.72,1791960.97,521314.16233009705
769,Citizens Alliance Bank,36731,129,53660224.14,1930818.36,415970.72976744187
641,Capital Bank,70460,136,53614212.85,1892632.1,394222.15330882353
1813,First Southwest Bank,378609,158,53599180.57,2001988.61,339235.3200632911
3507,"SouthTrust Bank, National Association",70026,128,53454966.56,1964263.43,417616.92625
4362,United Bank,33,114,53436994.46,1846899.71,468745.5654385965
2949,Optus Bank,124106,110,53415900.0,1881415.0,485599.0909090909
2076,Granite Bank,36743,108,53171921.47,1699329.55,492332.6062037037
2309,Insbank,203681,97,53140800.0,1526130.0,547843.2989690722
2757,MutualOne Bank,84345,101,53083815.68,1778817.8,525582.3334653465
453,BankCherokee,38841,135,52918801.35,1873943.18,391991.12111111113
4169,"The Security National Bank of Sioux City, Iowa",25474,94,52814676.85,1508197.31,561858.2643617021
862,Citizens State Bank of New Castle,24059,107,52483016.42,1553552.94,490495.4805607477
4419,Utah First FCU,106970,124,52313235.13,1861777.23,421880.92846774193
131,American Bank & Trust,66723,140,52254691.63,1997109.2,373247.7973571429
2892,Nusenda FCU,101094,117,52085483.0,1759857.81,445175.0683760684
2457,Lamar National Bank,71573,86,51873251.0,1571150.63,603177.3372093023
713,Central National Bank,72074,103,51796411.22,1766388.92,502877.77883495146
1501,First Bank,69129,120,51701457.0,1800541.21,430845.475
57,Adams Bank & Trust,42396,128,51645707.72,1913770.78,403482.0915625
3372,Savings Bank of Mendocino County,14935,118,51466385.8,1728351.93,436155.81186440674
2998,Parkway Bank and Trust Company,21490,96,51431442.42,1746460.54,535744.191875
591,CBI Bank & Trust,25284,125,51379101.72,1780313.14,411032.81376
4543,West Texas National Bank,71882,92,51324594.45,1433413.23,557876.0266304348
2261,Hope Enterprise Corporation,487365,101,51318605.8,1612731.21,508105.00792079204
4273,Tri City National Bank,76623,159,51290971.5,2005550.35,322584.72641509434
1881,First State Bank of the Florida Keys,17215,143,51200756.0,1953088.24,358047.24475524476
645,Capital Community Bank,118477,132,51164980.160000004,1862948.55,387613.4860606061
1486,First American Bank & Trust,29326,116,51018989.93,1726663.99,439818.87870689656
1508,First Bank Elk River,38033,102,50953939.0,1772854.05,499548.42156862747
1415,"Farmers State Bank of Alto Pass, Illinois",20214,141,50934719.84,1918769.75,361239.14780141844
2647,Merchants and Manufacturers Bank,21574,93,50907554.22,1678888.31,547393.0561290323
2415,Kinecta FCU,92028,171,50897720.32,2075224.46,297647.487251462
297,Bank Midwest,38258,97,50737999.0,1580506.01,523072.1546391753
2018,"GNBank, National Association",25911,81,50721980.7,1391383.18,626197.2925925927
3131,Pioneer Bank,78043,95,50705196.57,1562615.29,533738.9112631578
4046,The Harbor Bank of Maryland,30357,101,50620782.18,1680427.23,501195.86316831684
1156,Dayspring Bank,42200,88,50614994.9,1614101.37,575170.3965909091
1735,First National Bank of Oklahoma,59340,130,50586607.2,1770270.76,389127.7476923077
1344,"Farm Credit Services of America, ACA",528988,107,50525045.69,1683134.5,472196.68869158876
1128,Crown Bank,124519,97,50492342.15,1722728.42,520539.6097938144
2502,Liberty Capital Bank,458821,103,50441663.07,1616071.45,489724.8841747573
68,Affinity FCU,102038,141,50371371.06,1903377.62,357243.76638297876
537,Boeing Empl CU,107451,147,50332136.85,1961752.32,342395.4887755102
3424,Security State Bank & Trust,69949,136,50324233.72,1801236.46,370031.1302941176
2230,Home Federal Bank,77438,104,50149597.15,1687833.77,482207.66490384616
3628,Stone Bank,4086,91,50145986.45,1432722.15,551054.7961538462
378,Bank of Labor,26056,114,50046375.05,1684045.66,439003.2899122807
3633,Sturdy Savings Bank,80115,143,50011112.71,1962474.43,349728.0609090909
2500,Liberty Bank and Trust Company,29037,85,49988019.589999996,1411576.38,588094.348117647
1014,Community First Bank of Indiana,317699,116,49825583.03,1683239.73,429530.8881896552
3533,Southwestern National Bank,122197,126,49769522.75,1787089.18,394996.2123015873
2068,Grand Bank,122884,115,49738091.78,1718167.27,432505.14591304347
191,"Amur Equipment Finance, Inc.",529652,132,49702330.53,1832805.8,376532.80704545457
3665,Superior National Bank,35292,132,49689259.09,1857839.77,376433.7809848485
1120,Cross Keys Bank,29278,94,49596455.0,1625858.75,527621.8617021276
183,American State Bank & Trust Company of Williston,52987,82,49499880.22,1565758.05,603657.0758536585
1624,First Financial Bank,80415,107,49487000.0,1631810.0,462495.32710280374
1783,First Secure Community Bank,124397,126,49480189.82,1775919.5,392699.91920634924
459,BankIowa,25325,80,49442407.65,1354995.04,618030.095625
3606,"State Bank of the Lakes, National Association",20227,143,49261400.0,1937193.82,344485.31468531466
936,Commercial Bank,33538,150,49216327.44,1883070.17,328108.84959999996
1937,FlatIrons Bank,224832,140,49175378.73,1852565.54,351252.7052142857
1630,First Financial Northwest Bank,89194,130,49168359.56,1864990.6400000001,378218.15046153846
451,Bank3,68920,103,49102641.45,1627610.52,476724.6742718447
665,Carver Federal Savings Bank,87076,60,48962562.81,1294287.98,816042.7135000001
3577,State Bank Northwest,74278,112,48760383.65,1591984.72,435360.56830357143
2183,Hebron Savings Bank,30707,113,48588428.34,1542153.93,429986.0915044248
4159,The Richwood Banking Company,58129,135,48503375.5,1801661.97,359284.26296296297
529,Blue Ridge Bank and Trust Co.,40695,97,48440425.65,1599173.72,499385.83144329896
3298,River Valley Community Bank,441679,115,48338157.0,1679259.57,420331.8
4264,Traditions Bank,284268,103,48233294.12,1736879.27,468284.4089320388
3971,The First National Bank of Hutchinson,26005,87,48164196.08,1361359.8800000001,553611.4491954023
1182,Dime Bank,16432,101,48109900.0,1599169.0,476335.64356435643
2687,Midflorida CU,94641,115,48080920.99,1640409.33,418094.9651304348
1487,First American Bank & Trust Company,17831,129,48052683.59,1697349.03,372501.4231782946
2973,PCSB Bank,46100,60,48051725.82,1230717.44,800862.097
311,Bank of Belleville,436785,131,48038975.0,1746528.75,366709.7328244275
4307,Truxton Trust Company,388149,84,47970157.83,1351055.95,571073.3075
3431,Select Bank,447640,103,47873799.37,1629523.51,464794.16864077665
3326,Rosedale Federal Savings & Loan Association,82694,108,47572439.0,1477944.33,440485.5462962963
4630,"immito, LLC",521923,74,47522078.5,1459242.23,642190.25
402,Bank of Oak Ridge,124488,125,47497760.95,1760318.82,379982.0876
4476,VyStar CU,94425,182,47253752.16,2065360.24,259636.00087912087
969,"Community Bank & Trust, Waco, Texas",72077,73,47183520.56,1295563.51,646349.5967123288
2430,LCNB National Bank,57659,105,47102597.24,1621020.62,448596.16419047624
2790,Neighborhood National Bank,122100,122,47095245.35,1706989.28,386026.60122950823
1294,"Extraco Banks, National Association",71966,102,46842288.28,1507075.27,459238.1203921569
2648,Meredith Village Savings Bank,43146,126,46791269.51,1742033.74,371359.2818253968
1493,First Bank,3501,107,46787467.07,1686733.9,437266.04738317756
3855,The Conway National Bank,65971,140,46345623.41,1757299.43,331040.1672142857
4474,Volunteer State Bank,68778,122,46203589.62,1713119.96,378717.947704918
1958,Fortress Bank,21621,77,46201513.95,1271258.1300000001,600019.6616883117
494,BayVanguard Bank,89333,126,46171083.64,1675022.28,366437.17174603173
888,Clear Fork Bank National Association,68950,84,46101115.0,1509028.41,548822.7976190476
752,Chelsea State Bank,33691,111,46099392.07,1620483.98,415309.83846846846
3132,Pioneer Bank & Trust,66436,97,45976307.02,1486818.06,473982.54659793817
3800,The Cecilian Bank,26872,94,45964200.0,1419866.0,488980.8510638298
1685,"First National Bank Ames, Iowa",24544,112,45909186.06,1677628.35,409903.44696428574
2254,"Hometown Bank, National Association",69987,109,45373300.0,1593015.0,416268.80733944953
3053,Peoples Bank & Trust,22272,80,45370835.0,1470655.75,567135.4375
2933,OnPoint Community CU,103770,158,45294114.12,1933928.22,286671.60835443035
1817,First State Bank,21955,125,45126412.56,1616705.96,361011.30048000003
2758,NBC Oklahoma,58711,103,45088797.47,1451360.24,437755.31524271844
2877,Northwest Bank of Rockford,22504,96,45030737.92,1405984.59,469070.1866666667
398,Bank of New England,43165,96,44851810.38,1494538.52,467206.358125
2144,Haddon Savings Bank,78886,47,44821517.3,1029359.15,953649.3042553191
