,ServicingLenderName,ServicingLenderLocationID,OriginatingLender,LoanNumber,CurrentApprovalAmount,LenderProfit,AverageLoanAmount
0,"AgSouth Farm Credit, ACA",238223,"Carolina Farm Credit, ACA",9,8979061.92,157447.59,997673.5466666666
49,Honor CU,98710,Greater Nevada CU,29,8617400.0,350864.0,297151.724137931
63,Liberty SBF Holdings LLC,531105,State Bank of Texas,10,7546745.0,240629.35,754674.5
4,Bank of Ann Arbor,119903,First Merchants Bank,22,6927584.0,287570.8,314890.1818181818
2,"Amur Equipment Finance, Inc.",529652,The Enterprise Center Capital Corporation,22,6390470.0,262424.36,290475.9090909091
53,Kanza Bank,26094,Bankers' Bank of Kansas,11,5907365.59,205114.46,537033.2354545455
51,Johnson Bank,77025,Nicolet National Bank,1,5645800.0,56458.0,5645800.0
151,Western Commerce Bank,45737,Western Bank of Clovis,13,5418600.0,203430.0,416815.3846153846
81,Loan Source Incorporated,188567,First State Bank,15,5052156.0,202095.52,336810.4
79,Loan Source Incorporated,188567,First Bank of Alabama,15,4808064.5,206941.0,320537.63333333336
96,Loan Source Incorporated,188567,Neighbors FCU,14,4490900.0,179259.0,320778.5714285714
12,"Citizens Bank, National Association",434162,"HSBC Bank USA, National Association",14,4445284.0,165502.66,317520.28571428574
132,Simply Bank,68878,Community National Bank,7,3861200.0,83946.0,551600.0
60,"Lendistry SBLC, LLC",538160,"Hana Small Business Lending, Inc.",16,3772197.45,171746.77000000002,235762.340625
143,The Fisher National Bank,21373,Catlin Bank,7,3750900.0,140105.0,535842.8571428572
36,First Trust Bank of Illinois,123046,Midwest Bank,3,3663763.0,70863.03,1221254.3333333333
52,Jovia Financial FCU,102009,Empire Financial Federal Credit Union,1,3651421.0,36514.21,3651421.0
83,Loan Source Incorporated,188567,Five Star Bank,15,3563000.0,161350.0,237533.33333333334
35,First Trust Bank of Illinois,123046,Bank of Springfield,2,3466900.0,53461.0,1733450.0
85,Loan Source Incorporated,188567,"Florida Capital Bank, National Association",11,3347406.0,137959.78,304309.63636363635
86,Loan Source Incorporated,188567,"Fulton Bank, National Association",7,3200049.0,103847.87,457149.85714285716
128,"Readycap Lending, LLC",499141,Customers Bank,3,2827900.0,84837.0,942633.3333333334
131,Self-Help CU,109924,Self-Help FCU,6,2732981.0,93570.87,455496.8333333333
75,Loan Source Incorporated,188567,Community Bank and Trust Company,5,2724603.68,99512.28,544920.736
145,Three Rivers FCU,96495,"West End Bank, S.B.",9,2602704.0,111581.2,289189.3333333333
78,Loan Source Incorporated,188567,Financial Partners CU,10,2249558.92,112477.95,224955.892
121,Pathward National Association,87878,CIBC Bank USA,1,2155700.0,21557.0,2155700.0
30,First Bank,51812,First-Citizens Bank & Trust Company,4,2089100.0,66207.0,522275.0
118,Open Bank,434588,"Hana Small Business Lending, Inc.",8,1980529.0,91148.01000000001,247566.125
40,Frankenmuth CU,98960,Greater Nevada CU,2,1965600.0,64696.0,982800.0
102,Loan Source Incorporated,188567,Pelican State CU,6,1898619.0,81335.61,316436.5
62,Liberty National Bank,58921,Valliance Bank,1,1876100.0,56283.0,1876100.0
48,Heritage FCU,96819,The Elberfeld State Bank,5,1681129.0,61562.61,336225.8
27,"Farm Credit Services of America, ACA",528988,Arvest Bank,1,1460700.0,43821.0,1460700.0
114,MidAmerica National Bank,20375,Midwest Bank,1,1442537.0,43276.11,1442537.0
122,Pathward National Association,87878,West Town Bank & Trust,1,1198800.0,35964.0,1198800.0
21,Customers Bank,121536,"Wells Fargo Bank, National Association",5,1179177.0,51619.95,235835.4
133,"SouthStar Bank, S.S.B.",71468,Community First National Bank,1,1153200.0,34596.0,1153200.0
8,Bank of Prairie Village,25947,Bankers' Bank of Kansas,4,1148197.32,48659.86,287049.33
34,First National Bank in Fredonia,25879,Bankers' Bank of Kansas,1,1068371.65,32051.15,1068371.65
92,Loan Source Incorporated,188567,Marlin Business Bank,4,1053312.5,43910.93,263328.125
142,The Dime Bank,60372,Webster Bank National Association,2,1008645.0,30259.35,504322.5
152,"Zions Bank, A Division of",72601,City National Bank,2,967365.0,29020.949999999997,483682.5
32,First Federal Bank of Wisconsin,87126,Mitchell Bank,5,960575.24,48028.76,192115.048
33,First Merchants Bank,24037,Bank of Ann Arbor,2,950290.0,28508.7,475145.0
116,"Northbrook Bank & Trust Company, National Association",203722,"Wintrust Bank, National Association",3,793800.0,31134.0,264600.0
45,HTLF Bank,444645,Dubuque Bank and Trust Company,1,792800.0,23784.0,792800.0
46,Hanover Community Bank,462816,New York Business Development Corporation,3,753000.0,37650.0,251000.0
147,"TransPecos Banks, SSB.",71584,Texas National Bank,4,727700.0,36385.0,181925.0
127,Rally Credit Union,106268,Louisiana FCU,2,727600.0,27592.0,363800.0
135,SpiritBank,58789,First State Bank,1,722700.0,21681.0,722700.0
28,Farmers Bank & Trust,25692,Bankers' Bank of Kansas,1,707227.7,21216.83,707227.7
149,Truity FCU,103569,Centric FCU,1,697500.0,20925.0,697500.0
103,Loan Source Incorporated,188567,"Readycap Lending, LLC",1,686986.0,20609.58,686986.0
150,United Bank & Trust,25695,Bankers' Bank of Kansas,3,677529.19,33876.46,225843.06333333332
137,Stryv Bank,26661,Bankers' Bank of Kansas,2,627781.5700000001,21888.379999999997,313890.78500000003
140,Teachers CU,96759,New Buffalo Savings Bank,2,602154.0,30107.699999999997,301077.0
24,Dubuque Bank and Trust Company,24930,HTLF Bank,1,553400.0,16602.0,553400.0
117,Northern Maine Development Commission And Eastern Maine Development Corporation,188458,Northern Maine Development Commission,1,454467.5,13634.02,454467.5
148,TruEnergy FCU,94094,Access to Capital for Entrepreneurs,1,450439.95,13513.2,450439.95
5,Bank of Ann Arbor,119903,First National Bank of Michigan,1,437600.0,13128.0,437600.0
